dataset,location,weighting,T,year,C_old,C_recent,C_all,C_gate2,C_median,C_minimax,stack2_w_gate,stack3_n_arms,selector_disagreement
gbr_vwcap,gbr,vw_cap,60,2014,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
gbr_vwcap,gbr,vw_cap,60,2015,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
gbr_vwcap,gbr,vw_cap,60,2016,8.0,16.0,8.0,8.0,8.0,8.0,1.0,2,1.0
gbr_vwcap,gbr,vw_cap,60,2017,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
gbr_vwcap,gbr,vw_cap,60,2018,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
gbr_vwcap,gbr,vw_cap,60,2019,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
gbr_vwcap,gbr,vw_cap,60,2020,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
gbr_vwcap,gbr,vw_cap,60,2021,16.0,2.0,8.0,8.0,8.0,2.0,1.0,3,3.0
gbr_vwcap,gbr,vw_cap,60,2022,8.0,4.0,8.0,8.0,8.0,4.0,1.0,2,1.0
gbr_vwcap,gbr,vw_cap,60,2023,8.0,2.0,4.0,4.0,4.0,2.0,1.0,3,2.0
gbr_vwcap,gbr,vw_cap,60,2024,8.0,0.0,4.0,4.0,4.0,0.0,1.0,3,5.0
gbr_vwcap,gbr,vw_cap,60,2025,8.0,0.0,4.0,4.0,4.0,0.0,1.0,3,5.0
gbr_vwcap,gbr,vw_cap,120,2007,4.0,8.0,8.0,4.0,8.0,4.0,0.4875344568502212,2,1.0
gbr_vwcap,gbr,vw_cap,120,2008,4.0,8.0,4.0,4.0,4.0,4.0,1.0,2,1.0
gbr_vwcap,gbr,vw_cap,120,2009,4.0,2.0,4.0,4.0,4.0,4.0,1.0,2,1.0
gbr_vwcap,gbr,vw_cap,120,2010,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,0.0
gbr_vwcap,gbr,vw_cap,120,2011,4.0,8.0,8.0,4.0,8.0,8.0,0.4979909429958223,2,1.0
gbr_vwcap,gbr,vw_cap,120,2012,8.0,4.0,8.0,8.0,8.0,4.0,1.0,2,1.0
gbr_vwcap,gbr,vw_cap,120,2013,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
gbr_vwcap,gbr,vw_cap,120,2014,2.0,8.0,8.0,2.0,8.0,4.0,0.0,2,2.0
gbr_vwcap,gbr,vw_cap,120,2015,4.0,8.0,8.0,4.0,8.0,4.0,0.0,2,1.0
gbr_vwcap,gbr,vw_cap,120,2016,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
gbr_vwcap,gbr,vw_cap,120,2017,4.0,8.0,8.0,4.0,8.0,4.0,0.0,2,1.0
gbr_vwcap,gbr,vw_cap,120,2018,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
gbr_vwcap,gbr,vw_cap,120,2019,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
gbr_vwcap,gbr,vw_cap,120,2020,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
gbr_vwcap,gbr,vw_cap,120,2021,8.0,4.0,8.0,8.0,8.0,4.0,1.0,2,1.0
gbr_vwcap,gbr,vw_cap,120,2022,8.0,4.0,8.0,8.0,8.0,4.0,1.0,2,1.0
gbr_vwcap,gbr,vw_cap,120,2023,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
gbr_vwcap,gbr,vw_cap,120,2024,8.0,4.0,8.0,8.0,8.0,4.0,1.0,2,1.0
gbr_vwcap,gbr,vw_cap,120,2025,8.0,4.0,8.0,8.0,8.0,4.0,1.0,2,1.0
gbr_vwcap,gbr,vw_cap,240,2017,8.0,16.0,8.0,8.0,8.0,8.0,1.0,2,1.0
gbr_vwcap,gbr,vw_cap,240,2018,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
gbr_vwcap,gbr,vw_cap,240,2019,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
gbr_vwcap,gbr,vw_cap,240,2020,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
gbr_vwcap,gbr,vw_cap,240,2021,16.0,2.0,16.0,16.0,16.0,2.0,1.0,2,3.0
gbr_vwcap,gbr,vw_cap,240,2022,16.0,32.0,32.0,16.0,32.0,32.0,0.4295235017120902,2,1.0
gbr_vwcap,gbr,vw_cap,240,2023,16.0,32.0,32.0,16.0,32.0,32.0,0.2590076548538631,2,1.0
gbr_vwcap,gbr,vw_cap,240,2024,16.0,2.0,16.0,16.0,16.0,2.0,1.0,2,3.0
gbr_vwcap,gbr,vw_cap,240,2025,16.0,4.0,8.0,8.0,8.0,4.0,1.0,3,2.0
jpn_vwcap,jpn,vw_cap,60,2005,8.0,16.0,8.0,8.0,8.0,8.0,1.0,2,1.0
jpn_vwcap,jpn,vw_cap,60,2006,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
jpn_vwcap,jpn,vw_cap,60,2007,8.0,4.0,8.0,8.0,8.0,8.0,1.0,2,1.0
jpn_vwcap,jpn,vw_cap,60,2008,8.0,4.0,4.0,4.0,4.0,4.0,1.0,2,1.0
jpn_vwcap,jpn,vw_cap,60,2009,8.0,2.0,4.0,4.0,4.0,2.0,1.0,3,2.0
jpn_vwcap,jpn,vw_cap,60,2010,16.0,0.0,4.0,4.0,4.0,0.0,1.0,3,6.0
jpn_vwcap,jpn,vw_cap,60,2011,8.0,2.0,8.0,8.0,8.0,8.0,1.0,2,2.0
jpn_vwcap,jpn,vw_cap,60,2012,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,0.0
jpn_vwcap,jpn,vw_cap,60,2013,4.0,2.0,4.0,4.0,4.0,4.0,1.0,2,1.0
jpn_vwcap,jpn,vw_cap,60,2014,2.0,4.0,4.0,2.0,4.0,4.0,0.38941868299969,2,1.0
jpn_vwcap,jpn,vw_cap,60,2015,0.0,4.0,2.0,0.0,2.0,2.0,0.28145545425406876,3,4.0
jpn_vwcap,jpn,vw_cap,60,2016,2.0,4.0,4.0,2.0,4.0,4.0,0.0,2,1.0
jpn_vwcap,jpn,vw_cap,60,2017,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,0.0
jpn_vwcap,jpn,vw_cap,60,2018,2.0,4.0,4.0,2.0,4.0,4.0,0.1709739896580905,2,1.0
jpn_vwcap,jpn,vw_cap,60,2019,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,0.0
jpn_vwcap,jpn,vw_cap,60,2020,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,0.0
