model,budget,selected,validation_sharpe,validation_loss,test_sharpe,test_loss,mean_C,mean_lambda,mean_IS_Sharpe
drop_sleeves_value,64.0,False,0.5457964248753976,0.8232509667441801,0.733508848095187,0.9624437146877626,64.0,0.0001689902929317363,8.387769392295326
drop_sleeves_value,96.0,False,0.5001678654595061,0.8548386629957196,0.6949031946799774,1.0477838746457762,96.0,3.0433645414113208e-05,19.84559630088519
drop_sleeves_value,118.0,False,0.45956930281380687,0.931866764040514,0.6283206672321844,1.1888675406908484,118.0,1.544898901635824e-06,219.0631543702719
drop_state_intangibles,0.5,False,0.730333344037459,0.9891119540404214,0.4361297438160769,0.9974652052485179,0.5,0.2998501702370715,1.6714401247049668
drop_state_intangibles,1.0,False,0.7815714375612091,0.9786925255359319,0.45160863818877306,0.9950492824295294,1.0,0.1443994612808047,1.7160543993042472
drop_state_intangibles,2.0,True,0.8389088539452743,0.9594698350159556,0.48164773259595656,0.9905339975262479,2.0,0.06713918597421079,1.8168637993002739
drop_state_intangibles,4.0,False,0.8106190071293733,0.9277839489944683,0.5445792004201327,0.9826547681841743,4.0,0.029296462855255945,1.9944223166926147
drop_state_intangibles,8.0,False,0.7610732758118062,0.8854462287851672,0.6281427204887788,0.9708750296449239,8.0,0.011500659402903306,2.348282193553612
drop_state_intangibles,12.0,False,0.7364637158921078,0.8600454198181833,0.6689063506711406,0.9628520614353951,12.0,0.0062047625913006985,2.69744506975176
drop_state_intangibles,16.0,False,0.7238496042653602,0.8439812541562172,0.6875098836969984,0.9569845773543186,16.0,0.0038498769645838615,3.02439210296912
drop_state_intangibles,24.0,False,0.7183209426378385,0.8258706184808159,0.670300470233687,0.9486453351538048,24.0,0.00183810071168681,3.660027998217368
drop_state_intangibles,32.0,False,0.7100518115883522,0.8161490439063616,0.6744066670040825,0.9436386671602904,32.0,0.0010251856906313267,4.368260884424414
drop_state_intangibles,48.0,False,0.7136940985736768,0.8050356644603608,0.7230355850903756,0.9452224646559694,48.0,0.00039693482399432464,6.097394641051616
drop_state_intangibles,64.0,False,0.699548518981449,0.8011409937205658,0.7363720045318891,0.963955742341641,64.0,0.00017380966623685472,8.441872871344632
drop_state_intangibles,96.0,False,0.6294840857033769,0.836072786426988,0.7188573445653821,1.0574425062630148,96.0,3.037113152062453e-05,20.256499974143075
drop_state_intangibles,118.0,False,0.5715181960602195,0.9154773576647056,0.6412395203628979,1.2015229884679541,118.0,1.5100000044714411e-06,222.79686296239447
drop_state_investment,0.5,True,0.6911741239950153,0.9902417211543726,0.4845780688177978,0.9976498468436193,0.5,0.30048053785973466,1.6913854243292388
drop_state_investment,1.0,False,0.6885720675104731,0.9807074547094293,0.505109305275187,0.9954032964478102,1.0,0.14499138619298657,1.7408541659891328
