year,window,group,tune_end,confirmation_end,selected_grid_C_extra,training_total_C,confirmation_loss_gain,simultaneous_lower_bound
2022,60,all_extensions,2016-12-31,2021-12-31,8.0,11.0,0.02090141933527019,-0.11126317180649646
2023,60,intangibles,2017-12-31,2022-12-31,2.0,5.0,0.03036076288286415,-0.0594251686368984
2023,60,investment,2017-12-31,2022-12-31,2.0,5.0,-0.007429424908386049,-0.0972153564281486
2023,60,momentum,2017-12-31,2022-12-31,0.0,3.0,2.3707887505016364e-18,-0.08978593151976255
2023,60,new,2017-12-31,2022-12-31,0.0,3.0,2.3707887505016364e-18,-0.08978593151976255
2023,60,profitability,2017-12-31,2022-12-31,1.0,4.0,0.01929795376185732,-0.07048797775790525
2023,60,trading_frictions,2017-12-31,2022-12-31,0.0,3.0,2.3707887505016364e-18,-0.08978593151976255
2023,60,value,2017-12-31,2022-12-31,2.0,5.0,0.0010144175660949902,-0.08877151395366757
2023,60,all_extensions,2017-12-31,2022-12-31,4.0,7.0,0.0367913816193408,-0.05299454990042177
2024,60,intangibles,2018-12-31,2023-12-31,4.0,7.0,0.0038031443380719676,-0.20383946826203547
2024,60,investment,2018-12-31,2023-12-31,2.0,5.0,-0.0351634684395584,-0.24280608103966586
2024,60,momentum,2018-12-31,2023-12-31,4.0,6.920000000000001,-0.16652346430613985,-0.37416607690624726
2024,60,new,2018-12-31,2023-12-31,0.0,3.0,2.3707887505016364e-18,-0.20764261260010744
2024,60,profitability,2018-12-31,2023-12-31,1.0,4.0,0.01921578059737539,-0.18842683200273205
2024,60,trading_frictions,2018-12-31,2023-12-31,0.0,3.0,2.3707887505016364e-18,-0.20764261260010744
2024,60,value,2018-12-31,2023-12-31,1.0,4.0,0.0011918420696676035,-0.20645077053043984
2024,60,all_extensions,2018-12-31,2023-12-31,4.0,7.0,0.025436109534576975,-0.1822065030655305
2025,60,intangibles,2019-12-31,2024-12-31,2.0,5.0,-0.007581719003491224,-0.1674268490288906
2025,60,investment,2019-12-31,2024-12-31,2.0,5.0,0.0061905707634834104,-0.15365455926191599
2025,60,momentum,2019-12-31,2024-12-31,0.0,3.0,-8.731441495749929e-18,-0.15984513002539938
2025,60,new,2019-12-31,2024-12-31,0.0,3.0,-8.731441495749929e-18,-0.15984513002539938
2025,60,profitability,2019-12-31,2024-12-31,0.5,3.5,0.006012589343778986,-0.1538325406816204
2025,60,trading_frictions,2019-12-31,2024-12-31,4.0,7.0,-0.03915041711309207,-0.19899554713849144
2025,60,value,2019-12-31,2024-12-31,1.0,4.0,0.005513054300726494,-0.1543320757246729
2025,60,all_extensions,2019-12-31,2024-12-31,4.0,7.0,0.017759229782343844,-0.14208590024305554
2005,120,intangibles,1999-12-31,2004-12-31,8.0,11.0,0.10876345069286078,-0.2420904066934539
2005,120,investment,1999-12-31,2004-12-31,2.0,5.0,0.10005242322449036,-0.2508014341618243
2005,120,momentum,1999-12-31,2004-12-31,1.0,4.0,0.009536309178511091,-0.3413175482078035
2005,120,new,1999-12-31,2004-12-31,0.0,3.0,-3.804826823975797e-17,-0.3508538573863147
2005,120,profitability,1999-12-31,2004-12-31,0.5,3.5,0.03658455354290808,-0.31426930384340657
2005,120,trading_frictions,1999-12-31,2004-12-31,2.0,5.0,0.0436360844447167,-0.30721777294159797
2005,120,value,1999-12-31,2004-12-31,16.0,14.759999999999998,0.17552162198539129,-0.17533223540092333
2005,120,all_extensions,1999-12-31,2004-12-31,8.0,11.0,0.37517743164624306,0.02432357425992837
2006,120,intangibles,2000-12-31,2005-12-31,4.0,7.0,0.1698586321305336,-0.16086707904022976
2006,120,investment,2000-12-31,2005-12-31,1.0,4.0,0.08727540976353798,-0.24345030140722537
2006,120,momentum,2000-12-31,2005-12-31,1.0,4.0,0.017360606946007866,-0.3133651042247555
2006,120,new,2000-12-31,2005-12-31,0.5,3.5,-0.030281542797435668,-0.36100725396819905
2006,120,profitability,2000-12-31,2005-12-31,1.0,4.0,0.013518116816835877,-0.3172075943539275
2006,120,trading_frictions,2000-12-31,2005-12-31,2.0,5.0,0.06907790970264331,-0.26164780146812006
2006,120,value,2000-12-31,2005-12-31,8.0,11.0,0.3384606819263594,0.007734970755596093
2006,120,all_extensions,2000-12-31,2005-12-31,8.0,11.0,0.2873945959958766,-0.04333111517488697
2007,120,intangibles,2001-12-31,2006-12-31,8.0,11.0,-0.09767990693321318,-0.3276684079327689
2007,120,investment,2001-12-31,2006-12-31,2.0,5.0,-0.0021758914473148845,-0.23216439244687062
2007,120,momentum,2001-12-31,2006-12-31,1.0,4.0,0.003468177467495818,-0.22652032353205992
2007,120,new,2001-12-31,2006-12-31,0.0,3.0,-6.0137080500529315e-18,-0.22998850099955573
2007,120,profitability,2001-12-31,2006-12-31,2.0,5.0,-0.017659859023696066,-0.2476483600232518
2007,120,trading_frictions,2001-12-31,2006-12-31,2.0,5.0,0.03196347395904082,-0.19802502704051492
2007,120,value,2001-12-31,2006-12-31,8.0,11.0,0.14029224524599815,-0.08969625575355755
2007,120,all_extensions,2001-12-31,2006-12-31,8.0,11.0,0.059423732797540804,-0.17056476820201494
2008,120,intangibles,2002-12-31,2007-12-31,4.0,7.0,0.015810929308302187,-0.11450631049459742
2008,120,investment,2002-12-31,2007-12-31,2.0,5.0,-0.0017057164908386509,-0.13202295629373823
2008,120,momentum,2002-12-31,2007-12-31,0.5,3.5,-0.00016584142216931607,-0.1304830812250689
2008,120,new,2002-12-31,2007-12-31,0.0,3.0,-7.401486830834377e-18,-0.13031723980289958
2008,120,profitability,2002-12-31,2007-12-31,1.0,4.0,-0.0005616928522619617,-0.13087893265516154
2008,120,trading_frictions,2002-12-31,2007-12-31,2.0,5.0,0.02430369975444413,-0.10601354004845545
2008,120,value,2002-12-31,2007-12-31,8.0,11.0,0.07133444049499692,-0.05898279930790268
2008,120,all_extensions,2002-12-31,2007-12-31,8.0,11.0,0.024461776298173744,-0.10585546350472583
2009,120,intangibles,2003-12-31,2008-12-31,4.0,7.0,-0.059346271678412985,-0.1913528544016671
2009,120,investment,2003-12-31,2008-12-31,2.0,5.0,-0.056676415893176964,-0.1886829986164311
2009,120,momentum,2003-12-31,2008-12-31,0.5,3.5,-0.0007659465164200519,-0.1327725292396742
2009,120,new,2003-12-31,2008-12-31,0.0,3.0,-7.401486830834377e-18,-0.13200658272325413
2009,120,profitability,2003-12-31,2008-12-31,1.0,4.0,0.018312277051454308,-0.11369430567179983
2009,120,trading_frictions,2003-12-31,2008-12-31,2.0,5.0,0.016986379162332168,-0.11502020356092196
2009,120,value,2003-12-31,2008-12-31,8.0,11.0,0.06707369888400933,-0.06493288383924482
2009,120,all_extensions,2003-12-31,2008-12-31,16.0,19.0,-0.04027011317287678,-0.17227669589613093
2010,120,intangibles,2004-12-31,2009-12-31,4.0,7.0,-0.036110332105043004,-0.15222295272090963
2010,120,investment,2004-12-31,2009-12-31,4.0,7.0,0.020189689801474568,-0.09592293081439206
2010,120,momentum,2004-12-31,2009-12-31,0.5,3.5,-0.0027527636153922524,-0.11886538423125889
2010,120,new,2004-12-31,2009-12-31,0.5,3.5,0.001155649951046092,-0.11495697066482054
2010,120,profitability,2004-12-31,2009-12-31,4.0,7.0,-0.013500935080377233,-0.1296135556962439
2010,120,trading_frictions,2004-12-31,2009-12-31,2.0,5.0,0.022781187591930225,-0.09333143302393641
2010,120,value,2004-12-31,2009-12-31,8.0,11.0,0.0639026561917663,-0.052209964424100364
2010,120,all_extensions,2004-12-31,2009-12-31,16.0,19.0,0.023665695440479355,-0.0924469251753873
2011,120,intangibles,2005-12-31,2010-12-31,4.0,7.0,-0.05492875699975181,-0.2202610987427726
2011,120,investment,2005-12-31,2010-12-31,8.0,9.86,-0.01246708610670645,-0.17779942784972724
2011,120,momentum,2005-12-31,2010-12-31,2.0,5.0,-0.024254673579233752,-0.18958701532225455
2011,120,new,2005-12-31,2010-12-31,0.0,3.0,-1.4802973661668754e-17,-0.16533234174302083
2011,120,profitability,2005-12-31,2010-12-31,4.0,7.0,-0.020204341362411334,-0.18553668310543214
2011,120,trading_frictions,2005-12-31,2010-12-31,4.0,7.0,-0.003936320681231695,-0.1692686624242525
2011,120,value,2005-12-31,2010-12-31,16.0,14.759999999999998,-0.1284756263221198,-0.29380796806514065
2011,120,all_extensions,2005-12-31,2010-12-31,16.0,19.0,-0.03102630288934407,-0.19635864463236488
2012,120,intangibles,2006-12-31,2011-12-31,1.0,4.0,-0.014617171186770283,-0.23559573791867866
2012,120,investment,2006-12-31,2011-12-31,8.0,9.86,-0.010022364278888304,-0.2310009310107967
2012,120,momentum,2006-12-31,2011-12-31,1.0,4.0,-0.013367365220568948,-0.23434593195247733
2012,120,new,2006-12-31,2011-12-31,0.0,3.0,0.0,-0.22097856673190838
2012,120,profitability,2006-12-31,2011-12-31,0.0,3.0,0.0,-0.22097856673190838
2012,120,trading_frictions,2006-12-31,2011-12-31,4.0,7.0,-0.05966023680195331,-0.28063880353386167
2012,120,value,2006-12-31,2011-12-31,8.0,11.0,0.06757456380687511,-0.15340400292503326
2012,120,all_extensions,2006-12-31,2011-12-31,32.0,35.0,-0.1381199763519906,-0.359098543083899
2013,120,intangibles,2007-12-31,2012-12-31,2.0,5.0,-0.029646041036758126,-0.2153286788722123
2013,120,investment,2007-12-31,2012-12-31,8.0,9.86,0.025784794697463215,-0.15989784313799096
2013,120,momentum,2007-12-31,2012-12-31,4.0,6.920000000000001,-0.08669958642550404,-0.27238222426095826
2013,120,new,2007-12-31,2012-12-31,0.0,3.0,0.0,-0.18568263783545416
2013,120,profitability,2007-12-31,2012-12-31,0.5,3.5,0.0008470295726480688,-0.1848356082628061
2013,120,trading_frictions,2007-12-31,2012-12-31,4.0,7.0,-0.04496118171044894,-0.23064381954590313
2013,120,value,2007-12-31,2012-12-31,8.0,11.0,0.0369645772615881,-0.14871806057386605
2013,120,all_extensions,2007-12-31,2012-12-31,32.0,35.0,-0.13993283286649844,-0.3256154707019526
2014,120,intangibles,2008-12-31,2013-12-31,0.0,3.0,-3.7007434154171884e-18,-0.08783244800598398
2014,120,investment,2008-12-31,2013-12-31,0.0,3.0,-3.7007434154171884e-18,-0.08783244800598398
2014,120,momentum,2008-12-31,2013-12-31,0.0,3.0,-3.7007434154171884e-18,-0.08783244800598398
2014,120,new,2008-12-31,2013-12-31,4.0,5.939999999999999,0.0012900470228236695,-0.08654240098316031
2014,120,profitability,2008-12-31,2013-12-31,2.0,5.0,-0.03746045036771352,-0.1252928983736975
2014,120,trading_frictions,2008-12-31,2013-12-31,2.0,5.0,-0.012341233665645624,-0.10017368167162961
2014,120,value,2008-12-31,2013-12-31,4.0,7.0,0.11940202907289839,0.031569581066914404
2014,120,all_extensions,2008-12-31,2013-12-31,0.0,3.0,-3.7007434154171884e-18,-0.08783244800598398
2015,120,intangibles,2009-12-31,2014-12-31,0.5,3.5,-0.006810339039096309,-0.07294786179828831
2015,120,investment,2009-12-31,2014-12-31,4.0,7.0,0.003145001625629984,-0.06299252113356203
2015,120,momentum,2009-12-31,2014-12-31,0.0,3.0,3.7007434154171884e-18,-0.066137522759192
2015,120,new,2009-12-31,2014-12-31,4.0,5.939999999999999,0.004743112584137869,-0.06139441017505414
2015,120,profitability,2009-12-31,2014-12-31,2.0,5.0,-0.014163192149413464,-0.08030071490860548
2015,120,trading_frictions,2009-12-31,2014-12-31,2.0,5.0,-0.019252855652917754,-0.08539037841210977
2015,120,value,2009-12-31,2014-12-31,4.0,7.0,0.10982591704818964,0.04368839428899764
2015,120,all_extensions,2009-12-31,2014-12-31,8.0,11.0,0.06528385850344938,-0.0008536642557426255
2016,120,intangibles,2010-12-31,2015-12-31,0.0,3.0,3.7007434154171884e-18,-0.06930580323582897
2016,120,investment,2010-12-31,2015-12-31,4.0,7.0,-0.0016079784295261006,-0.07091378166535507
2016,120,momentum,2010-12-31,2015-12-31,0.0,3.0,3.7007434154171884e-18,-0.06930580323582897
2016,120,new,2010-12-31,2015-12-31,1.0,4.0,0.008731207215154304,-0.060574596020674665
2016,120,profitability,2010-12-31,2015-12-31,1.0,4.0,-0.006018114683692092,-0.07532391791952106
2016,120,trading_frictions,2010-12-31,2015-12-31,1.0,4.0,-0.014036685265134591,-0.08334248850096355
2016,120,value,2010-12-31,2015-12-31,4.0,7.0,0.13495301465660287,0.0656472114207739
2016,120,all_extensions,2010-12-31,2015-12-31,4.0,7.0,0.03045662226303216,-0.0388491809727968
2017,120,intangibles,2011-12-31,2016-12-31,0.0,3.0,-7.401486830834377e-18,-0.08762360280074455
2017,120,investment,2011-12-31,2016-12-31,4.0,7.0,-0.006152958120422181,-0.09377656092116672
2017,120,momentum,2011-12-31,2016-12-31,0.0,3.0,-7.401486830834377e-18,-0.08762360280074455
2017,120,new,2011-12-31,2016-12-31,2.0,5.0,-0.0006755067925549844,-0.08829910959329952
